Size,Send Time, Communication Time, Receive Time
Size,Send Time, Communication Time, Receive Time
1,0,0,0
2,0,0,0
4,0,0,0
1,0,0,0
2,0,0,0
4,0,0,0
8,0,0,0
8,0,0,0
16,0,0,0
16,0,0,0
32,0,0,0
32,0,0,0
64,0,0,0
64,0,0,0
128,0,0,0
128,0,0,0
256,0,0,1
256,1,0,0
512,0,0,3
512,3,0,0
1024,0,0,6
1024,6,0,0
2048,0,0,13
2048,13,0,0
4096,0,0,26
4096,26,0,0
8192,0,0,53
8192,53,0,0
16384,0,0,107
16384,107,0,0
32768,0,0,214
32768,214,0,0
65536,0,0,430
65536,430,1,0
131072,0,1,859
131072,860,0,0
262144,1,0,1719
262144,1720,0,1
